Name,Category,Award,Year,Former
Kinga Dobolyi,Mason Awards,Teaching Excellence Award,2016,yes
Mark Snyder,Mason Awards,Teaching Excellence Award,2016,
Jyh-Ming Lien,Mason Awards,"Emerging Researcher, Scholar, Creator Awards",2015,yes
Sean Luke,Mason Awards,Teaching Excellence Award,2015,
Amarda Shehu,Mason Awards,"Emerging Researcher, Scholar, Creator Awards",2014,
Huzefa Rangwala,Mason Awards,Teaching Excellence Award,2014,yes
Huzefa Rangwala,Mason Awards,"Mason Emerging Researcher, Scholar, Creator Awards",2014,yes
Amarda Shehu,Other Research Awards,"Tech100 Executive Honoree, Northern Virginia Technology Council",2025,
Amarda Shehu,Other Research Awards,"Twenty-five Higher Ed Influencers to Follow in 2026, EdTech Magazine",2025,
Amarda Shehu,Mason Awards,"College of Engineering & Computing Faculty Excellence Award for Research",2024,
Amarda Shehu,Mason Awards,OSCAR Mentor Award,2013,
Jeff Offutt,Mason Awards,Teaching Excellence Award,2013,yes
Sam Malek,Mason Awards,"Emerging Researcher, Scholar, Creator Awards",2013,yes
Angelos Stavrou,Mason Awards,"Emerging Researcher, Scholar, Creator Awards",2012,yes
Tamara Maddox,Mason Awards,Teaching Excellence Award,2012,
Songqing Chen,Mason Awards,"Emerging Researcher, Scholar, Creator Awards",2009,
Carlotta Domeniconi,Mason Awards,"Emerging Researcher, Scholar, Creator Awards",2008,
Daniel Menascé,Mason Awards,Teaching Excellence Award,2000,
